run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	P_5                   	14	0
summaryOnly	P_10                  	14	0.1
summaryOnly	P_15                  	14	0.1333
summaryOnly	P_20                  	14	0.1
summaryOnly	P_30                  	14	0.0667
summaryOnly	P_100                 	14	0.07
summaryOnly	P_200                 	14	0.055
summaryOnly	P_500                 	14	0.04
summaryOnly	P_1000                	14	0.031
summaryOnly	num_ret               	15	1000
summaryOnly	num_rel               	15	77
summaryOnly	num_rel_ret           	15	10
summaryOnly	map                   	15	0.0043
summaryOnly	Rprec                 	15	0.026
summaryOnly	bpref                 	15	0.0299
summaryOnly	recip_rank            	15	0.1
summaryOnly	iprec_at_recall_0.00  	15	0.1
summaryOnly	iprec_at_recall_0.10  	15	0.0168
summaryOnly	iprec_at_recall_0.20  	15	0
summaryOnly	iprec_at_recall_0.30  	15	0
summaryOnly	iprec_at_recall_0.40  	15	0
summaryOnly	iprec_at_recall_0.50  	15	0
summaryOnly	iprec_at_recall_0.60  	15	0
summaryOnly	iprec_at_recall_0.70  	15	0
summaryOnly	iprec_at_recall_0.80  	15	0
summaryOnly	iprec_at_recall_0.90  	15	0
summaryOnly	iprec_at_recall_1.00  	15	0
summaryOnly	P_5                   	15	0
summaryOnly	P_10                  	15	0.1
summaryOnly	P_15                  	15	0.0667
summaryOnly	P_20                  	15	0.05
summaryOnly	P_30                  	15	0.0667
summaryOnly	P_100                 	15	0.02
summaryOnly	P_200                 	15	0.02
summaryOnly	P_500                 	15	0.016
summaryOnly	P_1000                	15	0.01
summaryOnly	num_ret               	16	1000
summaryOnly	num_rel               	16	184
summaryOnly	num_rel_ret           	16	33
summaryOnly	map                   	16	0.0308
summaryOnly	Rprec                 	16	0.0815
summaryOnly	bpref                 	16	0.1243
summaryOnly	recip_rank            	16	1
summaryOnly	iprec_at_recall_0.00  	16	1
summaryOnly	iprec_at_recall_0.10  	16	0.0736
summaryOnly	iprec_at_recall_0.20  	16	0
summaryOnly	iprec_at_recall_0.30  	16	0
summaryOnly	iprec_at_recall_0.40  	16	0
summaryOnly	iprec_at_recall_0.50  	16	0
summaryOnly	iprec_at_recall_0.60  	16	0
summaryOnly	iprec_at_recall_0.70  	16	0
summaryOnly	iprec_at_recall_0.80  	16	0
summaryOnly	iprec_at_recall_0.90  	16	0
summaryOnly	iprec_at_recall_1.00  	16	0
summaryOnly	P_5                   	16	0.6
summaryOnly	P_10                  	16	0.3
summaryOnly	P_15                  	16	0.2
summaryOnly	P_20                  	16	0.2
summaryOnly	P_30                  	16	0.2667
summaryOnly	P_100                 	16	0.11
summaryOnly	P_200                 	16	0.08
summaryOnly	P_500                 	16	0.048
summaryOnly	P_1000                	16	0.033
summaryOnly	num_ret               	17	1000
summaryOnly	num_rel               	17	177
summaryOnly	num_rel_ret           	17	64
summaryOnly	map                   	17	0.0368
summaryOnly	Rprec                 	17	0.1073
summaryOnly	bpref                 	17	0.1318
summaryOnly	recip_rank            	17	0.25
summaryOnly	iprec_at_recall_0.00  	17	0.25
summaryOnly	iprec_at_recall_0.10  	17	0.1216
summaryOnly	iprec_at_recall_0.20  	17	0.0872
summaryOnly	iprec_at_recall_0.30  	17	0.0691
summaryOnly	iprec_at_recall_0.40  	17	0
summaryOnly	iprec_at_recall_0.50  	17	0
summaryOnly	iprec_at_recall_0.60  	17	0
summaryOnly	iprec_at_recall_0.70  	17	0
summaryOnly	iprec_at_recall_0.80  	17	0
summaryOnly	iprec_at_recall_0.90  	17	0
summaryOnly	iprec_at_recall_1.00  	17	0
summaryOnly	P_5                   	17	0.2
summaryOnly	P_10                  	17	0.1
summaryOnly	P_15                  	17	0.1333
summaryOnly	P_20                  	17	0.1
summaryOnly	P_30                  	17	0.1667
summaryOnly	P_100                 	17	0.13
summaryOnly	P_200                 	17	0.1
summaryOnly	P_500                 	17	0.078
summaryOnly	P_1000                	17	0.064
summaryOnly	num_ret               	18	1000
summaryOnly	num_rel               	18	68
summaryOnly	num_rel_ret           	18	26
summaryOnly	map                   	18	0.0556
summaryOnly	Rprec                 	18	0.1618
summaryOnly	bpref                 	18	0.1447
summaryOnly	recip_rank            	18	0.2
summaryOnly	iprec_at_recall_0.00  	18	0.3571
summaryOnly	iprec_at_recall_0.10  	18	0.2059
